time,cpu,ram
0.0,15.1,41.6
0.26,19.5,41.6
0.51,51.9,41.6
0.81,19.1,41.7
1.07,18.5,41.7
1.37,12.6,41.7
1.64,16.7,41.7
1.9,12.5,41.7
2.12,15.0,41.6
2.4,19.0,41.6
2.68,17.4,41.6
2.96,17.0,41.5
3.25,18.2,41.6
3.5,12.9,41.6
3.77,31.5,41.6
4.07,17.2,41.6
4.35,63.0,41.6
4.67,40.6,41.6
4.94,13.4,41.6
5.2,22.1,41.6
5.48,21.8,41.6
5.76,16.7,41.6
6.02,14.3,41.6
6.31,14.0,41.6
6.58,14.0,41.6
6.87,12.5,41.6
7.13,14.7,41.6
7.41,15.6,41.6
7.67,17.8,41.6
7.93,12.5,41.6
8.18,16.8,41.6
8.45,20.7,41.6
8.71,23.2,41.6
8.98,28.6,41.6
9.24,24.5,41.6
9.52,15.8,41.6
9.79,14.8,41.6
10.04,15.2,41.6
10.31,13.0,41.6
10.58,14.4,41.6
10.85,13.4,41.6
11.12,15.8,41.6
11.42,18.0,41.6
11.68,15.6,41.6
11.94,15.9,41.6
12.2,15.7,41.6
12.49,19.6,41.6
12.78,18.5,41.6
13.09,16.7,41.6
13.37,13.9,41.6
13.64,18.8,41.6
13.92,18.3,41.6
14.22,19.8,41.6
14.51,12.0,41.6
14.77,14.4,41.6
15.02,13.0,41.6
15.27,15.8,41.6
15.54,13.6,41.6
15.81,12.1,41.6
16.08,14.4,41.6
16.37,15.2,41.6
16.62,17.0,41.6
16.88,23.3,41.6
17.11,14.0,41.6
17.4,19.8,41.6
17.66,19.8,41.6
17.95,17.3,41.6
18.22,14.1,41.6
18.49,14.0,41.6
18.74,18.6,41.6
19.04,16.0,41.6
19.31,17.2,41.6
19.54,14.0,41.6
19.8,12.4,41.6
20.07,12.9,41.6
20.34,12.5,41.6
20.6,18.4,41.6
20.88,15.6,41.6
21.1,16.5,41.6
21.39,23.8,41.6
21.67,16.2,41.7
21.95,34.5,41.9
22.24,35.5,41.9
22.55,12.5,41.7
22.8,14.6,41.6
23.07,13.4,41.6
23.35,15.3,41.6
23.61,12.5,41.6
23.85,16.3,41.7
24.08,17.0,41.7
24.33,18.1,41.7
24.6,19.8,41.7
24.88,23.0,41.7
25.14,19.4,41.7
25.43,19.1,41.7
25.7,18.5,41.7
25.96,23.2,41.7
26.23,20.4,41.7
26.5,12.8,41.7
26.76,14.3,41.7
27.02,12.6,41.6
27.3,13.5,41.6
27.58,12.9,41.6
27.85,12.5,41.6
28.11,12.9,41.6
28.34,13.0,41.6
28.62,14.1,41.6
28.87,12.9,41.6
29.16,12.6,41.6
29.41,15.0,41.6
29.69,12.1,41.6
29.96,12.5,41.6
30.21,13.0,41.6
30.47,16.5,41.6
30.73,13.3,41.6
31.0,12.5,41.6
31.27,13.4,41.6
31.53,13.6,41.6
31.77,13.5,41.6
32.0,11.5,41.6
32.24,12.1,41.6
32.5,15.0,41.6
32.76,19.0,41.6
33.03,14.6,41.6
33.28,19.8,41.6
33.55,15.6,41.7
33.8,12.9,41.7
34.05,13.1,41.6
34.29,12.4,41.6
34.53,14.7,41.7
34.79,12.5,41.7
35.01,12.4,41.7
35.27,13.0,41.7
35.54,14.4,41.6
35.81,12.9,41.6
36.08,12.4,41.6
36.32,13.9,41.6
36.59,13.5,41.6
36.85,14.1,41.6
37.11,13.9,41.6
37.38,12.4,41.6
37.64,16.0,41.6
37.9,13.1,41.6
38.14,12.5,41.6
38.4,12.5,41.6
38.67,12.5,41.6
38.93,13.5,41.6
39.15,12.5,41.6
39.41,12.5,41.6
39.69,12.5,41.6
39.92,12.1,41.6
40.17,14.6,41.6
40.42,13.9,41.6
40.71,12.1,41.6
40.98,19.8,41.6
41.21,13.9,41.6
41.47,20.8,41.6
41.75,13.4,41.6
42.02,12.5,41.6
42.27,12.5,41.6
42.52,16.5,41.7
42.79,12.4,41.7
43.06,12.5,41.6
43.3,12.1,41.6
43.56,16.8,41.6
43.84,13.0,41.6
44.08,12.9,41.6
44.34,13.0,41.6
44.61,17.2,41.6
44.89,12.5,41.6
45.15,12.0,41.6
45.42,14.2,41.6
45.69,22.5,41.6
45.94,13.5,41.6
46.19,13.3,41.6
46.44,15.7,41.6
46.73,12.5,41.6
47.01,13.4,41.6
47.27,12.5,41.6
47.55,16.5,41.6
47.84,12.9,41.6
48.11,12.5,41.6
48.39,12.6,41.6
48.66,23.0,41.6
48.93,19.0,41.6
49.19,16.7,41.6
49.46,20.6,41.6
49.72,13.5,41.6
49.98,13.4,41.6
50.24,13.0,41.6
50.52,19.1,41.6
50.82,12.9,41.6
51.09,13.0,41.6
51.32,11.9,41.6
51.53,13.0,41.6
51.83,12.0,41.6
52.1,13.0,41.6
52.35,12.8,41.6
52.58,14.8,41.6
52.85,12.5,41.6
53.12,12.4,41.6
53.39,14.0,41.6
53.64,17.0,41.6
53.9,13.1,41.6
54.15,12.5,41.6
54.42,12.5,41.6
54.69,16.3,41.6
54.95,13.0,41.6
55.22,12.5,41.6
55.48,14.9,41.6
55.74,14.3,41.6
56.01,13.4,41.6
56.28,12.0,41.6
56.53,12.1,41.6
56.82,25.8,41.6
57.1,18.1,41.6
57.38,20.0,41.6
57.63,29.6,41.7
57.92,25.7,41.7
58.19,24.7,41.7
58.46,21.4,41.7
58.67,13.6,41.7
58.87,13.8,41.7
59.07,11.4,41.6
59.27,12.5,41.6
59.47,18.1,41.6
59.69,28.6,41.6
59.91,17.3,41.6
60.11,12.5,41.6
60.31,12.5,41.6
60.51,13.6,41.6
60.72,12.5,41.6
60.92,13.8,41.6
61.12,12.5,41.6
61.32,12.5,41.6
61.52,12.5,41.6
61.72,11.4,41.6
61.93,12.5,41.6
62.13,12.5,41.6
62.33,12.5,41.6
62.53,13.6,41.6
62.73,13.6,41.6
62.93,12.5,41.6
63.14,11.4,41.6
63.34,11.4,41.6
63.54,12.5,41.6
63.74,12.5,41.6
63.94,14.6,41.6
64.14,12.5,41.6
64.35,11.4,41.6
64.55,13.7,41.6
64.75,12.5,41.6
